name,contact_person,email,phone,status
vendor1,johdoe1,johndoe1@gmail.com,12345,Active
vendor2,johdoe2,johndoe2@gmail.com,12345,Active
vendor3,johdoe3,johndoe3@gmail.com,12345,Active
vendor4,johdoe4,johndoe4@gmail.com,12345,Active
vendor5,johdoe5,johndoe5@gmail.com,12345,Active
vendor6,johdoe6,johndoe6@gmail.com,12345,Active
vendor7,johdoe7,johndoe7@gmail.com,12345,Active
vendor8,johdoe8,johndoe8@gmail.com,12345,Active
vendor9,johdoe9,johndoe9@gmail.com,12345,Active
vendor10,johdoe10,johndoe10@gmail.com,12345,Active
vendor11,johdoe11,johndoe11@gmail.com,12345,Active
vendor12,johdoe12,johndoe12@gmail.com,12345,Active
vendor13,johdoe13,johndoe13@gmail.com,12345,Active
vendor14,johdoe14,johndoe14@gmail.com,12345,Active
vendor15,johdoe15,johndoe15@gmail.com,12345,Active
vendor16,johdoe16,johndoe16@gmail.com,12345,Active
vendor17,johdoe17,johndoe17@gmail.com,12345,Active
vendor18,johdoe18,johndoe18@gmail.com,12345,Active
vendor19,johdoe19,johndoe19@gmail.com,12345,Active
vendor20,johdoe20,johndoe20@gmail.com,12345,Active
